Image_Name,ID,Count
5386177_YY-ART_31372_20-38665_20-38665_MGG-049,5386177,10373
5388228_YY-ART_5067212_t1_nan_MGG,5388228,1258
5392800_YY-ART_5203180_19-40733_19-40733_MGG,5392800,10216
5406659_YY-ART_5293999_20-32916_20-32916_MGG,5406659,2154
5406693_YY-ART_1967445_t0_nan_MGG,5406693,4609
5407873_YY-ART_1566964_15-11466_15-11466_MGG,5407873,1720
5408853_YY-ART_10901_t1_nan_MGG,5408853,7304
54184_54184_t0_nan_MGG,54184,2178
5419427_YY-ART_1374625_t0_nan_MGG,5419427,2697
5419790_YY-ART_6984_16-19257_16-19257_MGG,5419790,2455
5436550_YY-ART_6971_t0_nan_MGG,5436550,8248
5437912_YY-ART_81510_17-26821_17-26821_MGG,5437912,4500
5447278_YY-ART_5034148_18-9233_18-9233_MGG,5447278,2292
5449588_YY-ART_58581_t0_nan_MGG,5449588,2616
5456985_YY-ART_15231_19-15033_19-15033_MGG,5456985,1822
5465474_YY-ART_1836587_t0_nan_MGG,5465474,3322
5472213_YY-ART_1642827_19-11108_19-11108_MGG,5472213,965
5475641_YY-ART_162467_t0_nan_MGG,5475641,1283
5481579_YY-ART_9039574_20-2372_20-2372_MGG,5481579,1960
549584_549584_19-43462_19-43462_MGG,549584,6393
5496052_YY-ART_1925237_t0_nan_MGG,5496052,4876
5528519_YY-ART_1959487_19-10043_19-10043_MGG,5528519,2281
5536916_YY-ART_1756979_t0_nan_MGG,5536916,2001
55380_55380_17-21477_17-21477_MGG,55380,1515
5550026_YY-ART_340911_t1_nan_MGG,5550026,9596
5550075_YY-ART_37241_t0_nan_MGG,5550075,2805
5555863_YY-ART_1950905_t0_nan_MGG,5555863,2835
566543_566543_18-27841_18-27841_MGG,566543,12616
577055_577055_20-8759_20-8759_MGG,577055,5214
583702_583702_16-11084_16-11084_MGG,583702,1115
586168_YY-ART_356199_t0_nan_MGG,586168,5230
59937_59937_t0_nan_MGG,59937,2418
622597_YY-ART_48383_t1_nan_MGG,622597,7361
62402_62402_20-7077_20-7077_MGG,62402,7162
631599_631599_t0_nan_MGG,631599,6751
632324_YY-ART_47394_16-11509_16-11509_MGG,632324,1067
637346_637346_18-27643_18-27643_MGG,637346,7560
68594_68594_18-41661_18-41661_MGG,68594,4486
812567_YY-ART_5156573_19-17996_19-17996_MGG,812567,3398
81828_81828_t4_nan_MGG,81828,21578
81839_81839_17-27417_17-27417_MGG,81839,6860
84000_YY-ART_1853197_t0_nan_MGG,84000,2059
85139_85139_t0_nan_MGG,85139,837
88450_88450_20-17443_20-17443_MGG,88450,1270
9039577_YY-ART_1450797_17-387_17-387_MGG,9039577,581
9053784_9053784_20-23760_20-23760_MGG,9053784,2404
97068_97068_16-26121_16-26121_MGG,97068,442
9863077_9863077_20-36382_20-36382_MGG,9863077,1635
102669_102669_20-39915_20-39915_HE,102669,2560
102669_102669_20-39915_20-39915_HE 2,102669,2098
102669_102669_20-39915_20-39915_HE 3,102669,1448
111878_111878_18-39692_18-39692_HE_2,111878,2989
111878_111878_18-39692_18-39692_HE_3,111878,2781
1128767_1128767_19-11301_19-11301_HE,1128767,2918
1144687_YY-ART_1374292_17-29418_17-29418_HE,1144687,1993
1144687_YY-ART_1374292_17-29418_17-29418_HE_2,1144687,2541
1144687_YY-ART_1374292_17-29418_17-29418_HE_3,1144687,2842
1144687_YY-ART_1374292_17-29418_17-29418_HE_4,1144687,2534
114850_114850_19-13625_19-13625_HE,114850,1880
114850_114850_19-13625_19-13625_HE_2,114850,1602
114850_114850_19-13625_19-13625_HE_3,114850,1776
115708_115708_16-11476_16-11476_HE,115708,1083
1161187_1161187_18-23554_18-23554_HE,1161187,274
11717_11717_17-35082_17-35082_HE_2,11717,1931
11717_11717_17-35082_17-35082_HE_3,11717,2223
1223647_1223647_17-25243_17-25243_HE,1223647,876
1359551_1359551_19-3826_19-3826_HE_2,1359551,1793
1378228_1378228_19-2665_19-2665_HE,1378228,844
1392543_1392543_20-17554_20-17554_HE,1392543,1626
1414537_YY-ART_90446_19-17088_19-17088_HE,1414537,1350
1418061_YY-ART_122595_15-18222_15-18222_HE,1418061,1091
1418151_YY-ART_44787_16-10182_16-10182_HE,1418151,1306
1418151_YY-ART_44787_16-10182_16-10182_HE_2,1418151,959
142782_142782_16-27744_16-27744_HE,142782,4036
142782_142782_16-27744_16-27744_HE_2,142782,4999
142782_142782_16-27744_16-27744_HE_3,142782,4181
1428187_1428187_20-6730_20-6730_HE,1428187,319
1428187_1428187_20-6730_20-6730_HE_2,1428187,455
1428187_1428187_20-6730_20-6730_HE_3,1428187,456
1443593_1443593_16-34842_16-34842_HE,1443593,2878
1443593_1443593_16-34842_16-34842_HE_3,1443593,3639
1443902_1443902_18-28589_18-28589_HE,1443902,1274
146480_146480_16-27767_16-27767_HE,146480,2117
146480_146480_16-27767_16-27767_HE_2,146480,1464
146480_146480_16-27767_16-27767_HE_3,146480,1903
146504_146504_20-21553_20-21553_HE,146504,1137
1469819_YY-ART_1415375_19-8146_19-8146_HE_2,1469819,1197
1469819_YY-ART_1415375_19-8146_19-8146_HE_3,1469819,1368
1484_1484_19-36328_19-36328_HE,1484,1777
1484_1484_19-36328_19-36328_HE_2,1484,1178
1484_1484_19-36328_19-36328_HE_3,1484,1970
1484_1484_19-36328_19-36328_HE_4,1484,1510
1487012_1487012_18-11068_18-11068_HE,1487012,3011
1487180_1487180_18-25013_18-25013_HE,1487180,823
1490244_YY-ART_5192185_19-35954_19-35954_HE,1490244,1554
1502873_1502873_20-17492_20-17492_HE,1502873,1466
1504203_1504203_20-25311_20-25311_HE,1504203,967
1504203_1504203_20-25311_20-25311_HE_2,1504203,552
1505177_1505177_19-5952_19-5952_HE_2,1505177,669
1517225_YY-ART_1948208_18-44113_18-44113_HE_2,1517225,4314
1525551_YY-ART_1568741_19-12579_19-12579_HE,1525551,2809
1525551_YY-ART_1568741_19-12579_19-12579_HE_2,1525551,2372
152577_152577_18-42751_18-42751_HE,152577,334
1530497_YY-ART_1981421_19-38714_19-38714_HE,1530497,423
1557176_1557176_16-23705_16-23705_HE,1557176,1000
1557176_1557176_16-23705_16-23705_HE_2,1557176,1540
1557176_1557176_16-23705_16-23705_HE_3,1557176,1084
1557176_1557176_16-23705_16-23705_HE_4,1557176,1546
1570455_YY-ART_5338828_21-8353_21-8353_HE,1570455,4166
1570455_YY-ART_5338828_21-8353_21-8353_HE 2,1570455,4186
1587240_1587240_20-4633_20-4633_HE,1587240,2893
1587240_1587240_20-4633_20-4633_HE_2,1587240,3233
1587240_1587240_20-4633_20-4633_HE_3,1587240,2999
1604817_1604817_18-39840_18-39840_HE,1604817,631
1608136_1608136_20-12312_20-12312_HE,1608136,2551
1613306_YY-ART_157086_15-16004_15-16004_HE,1613306,532
161664_161664_18-26685_18-26685_HE,161664,3685
1622752_1622752_20-30747_20-30747_HE,1622752,1062
1622752_1622752_20-30747_20-30747_HE_2,1622752,1134
1622752_1622752_20-30747_20-30747_HE_3,1622752,774
1624409_1624409_19-20479_19-20479_HE,1624409,2372
1627687_YY-ART_5203082_19-41781_19-41781_HE,1627687,3563
1631890_1631890_20-12736_20-12736_HE,1631890,1672
1632645_1632645_19-35420_19-35420_HE,1632645,2429
1632645_1632645_19-35420_19-35420_HE_3,1632645,2798
1654323_YY-ART_5156108_19-17089_19-17089_HE,1654323,1832
1656603_1656603_17-33679_17-33679_HE,1656603,879
165857_YY-ART_431130_17-26072_17-26072_HE,165857,2307
165857_YY-ART_431130_17-26072_17-26072_HE_2,165857,2348
165857_YY-ART_431130_17-26072_17-26072_HE_3,165857,2568
1660282_1660282_14-10709_14-10709_HE,1660282,1883
1679057_YY-ART_1583014_20-22168_20-22168_HE,1679057,1370
